"","seqnames","start","end","width","strand","name","tx_id","tx_name","exactTSS","idx","Log2FC","FDR","MeanDiff","Log2FC_C"
"28","chr1",40709241,40709365,125,"+","NFYC",994,"NM_001308115",40709366,4524,-0.260682607972751,0.707404253203428,-0.0175739831549074,-0.260682607972751
"29","chr1",42456000,42456106,107,"+","CCDC30",1007,"NM_001355226",42456107,4740,0.390016771610562,0.0448904922765,0.0525991502528706,0.390016771610562
"30","chr1",42463161,42463285,125,"+","CCDC30",1016,"NM_001355227",42463286,4744,-0.03658517394261,0.957034160796675,-0.00764359278613697,-0.03658517394261
"31","chr1",51617000,51617091,92,"+","OSBPL9",1224,"NM_001350208",51617092,5393,0.0844985911231264,0.731077862386281,0.013004252842016,0.0844985911231264
"32","chr1",51729725,51729849,125,"+","OSBPL9",1231,"NM_001330580",51729850,5402,0.66148510173388,0.119130089270197,0.0188723261009815,0.66148510173388
"33","chr1",65792500,65792509,10,"+","PDE4B",1385,"NM_001037341",65792510,6043,0.461769835517596,0.696042835054179,0.0113506831023024,0.461769835517596
"34","chr1",65792770,65792894,125,"+","PDE4B",1387,"NM_002600",65792895,6043,0.461769835517596,0.696042835054179,0.0113506831023024,0.461769835517596
"35","chr1",66332000,66332107,108,"+","PDE4B",1390,"NM_001037339",66332108,6069,0.54852299761265,0.0649209089354674,0.0432179468015369,0.54852299761265
"36","chr1",99969871,99969995,125,"+","SLC35A3",1748,"NM_001271684",99969996,7033,-0.625223833425429,0.123075570940715,-0.026411472302335,-0.625223833425429
"37","chr1",99970500,99970516,17,"+","SLC35A3",1750,"NM_001271685",99970517,7035,1.00548209283404,0.424981128854669,0.00674966714534549,1.00548209283404
"38","chr1",109619688,109619812,125,"+","AMPD2",1855,"NM_139156",109619813,7361,-0.0981224310267844,0.428119273182305,-0.0365577068554741,-0.0981224310267844
"39","chr1",109619712,109619836,125,"+","AMPD2",1856,"NM_001368809",109619837,7361,-0.0981224310267844,0.428119273182305,-0.0365577068554741,-0.0981224310267844
"40","chr1",109620789,109620913,125,"+","AMPD2",1857,"NM_001308170",109620914,7363,-0.251590405446889,0.340744217638144,-0.059850586277974,-0.251590405446889
"41","chr1",109621017,109621141,125,"+","AMPD2",1858,"NM_004037",109621142,7364,-0.353888751565017,0.153893072441645,-0.0679723771299692,-0.353888751565017
"42","chr1",109623863,109623987,125,"+","AMPD2",1859,"NM_001257361",109623988,7368,-0.919976241589629,0.0668900817675075,-0.0207242906152181,-0.919976241589629
"43","chr1",112466500,112466540,41,"+","WNT2B",1932,"NM_001291880",112466541,7685,-0.445441833935004,0.178788530648221,-0.0248122825851909,-0.445441833935004
"44","chr1",112508840,112508964,125,"+","WNT2B",1934,"NM_024494",112508965,7691,0.257354909354945,0.951221170716435,0.00770138442577663,0.257354909354945
"45","chr1",116373119,116373243,125,"+","ATP1A1",1981,"NM_000701",116373244,7947,0.124789971008119,0.47132388654983,0.0424235130863495,0.124789971008119
"46","chr1",116373742,116373866,125,"+","ATP1A1",1982,"NM_001160233",116373867,7948,-0.346901449557015,0.0664029538437836,-0.0446704003646093,-0.346901449557015
"47","chr1",146376682,146376806,125,"+","RNVU1-18",2083,"NR_004400",146376807,8319,-0.57892281289466,0.0395190000890805,-0.0480547824879732,-0.57892281289466
"48","chr1",151762844,151762968,125,"+","OAZ3",2307,"NM_001134939",151762969,17539,-1.54612077279296,0.096331884897398,-0.0162643855013342,-1.54612077279296
"49","chr1",151763355,151763479,125,"+","OAZ3",2308,"NM_001301371",151763480,8797,-0.139902930792594,0.910561264916476,-0.00650076301559921,-0.139902930792594
"50","chr1",154220047,154220171,125,"+","UBAP2L",2374,"NM_001127320",154220172,9111,0.526698710217095,0.177634943837277,0.0225910397986869,0.526698710217095
"51","chr1",154220724,154220848,125,"+","UBAP2L",2375,"NM_001287815",154220849,9112,-0.0222235607377399,0.958576419292298,-0.00970818031616172,-0.0222235607377399
"52","chr1",154220830,154220954,125,"+","UBAP2L",2378,"NM_001375629",154220955,9112,-0.0222235607377399,0.958576419292298,-0.00970818031616172,-0.0222235607377399
"53","chr1",154221179,154221303,125,"+","UBAP2L",2395,"NM_001375631",154221304,9113,-0.629397108522454,0.047963998526331,-0.0452094874075485,-0.629397108522454
"54","chr1",154325500,154325524,25,"+","ATP8B2",2402,"NM_001005855",154325525,9122,0.443993522306194,0.701682554431431,0.00987166982607826,0.443993522306194
"55","chr1",154327622,154327746,125,"+","ATP8B2",2405,"NM_001372009",154327747,9125,0.23880586620438,0.681979900887011,0.00200765719872761,0.23880586620438
"56","chr1",154328673,154328797,125,"+","ATP8B2",2406,"NM_001367934",154328798,9127,0.652459593606577,0.128440374800693,0.0254779992850615,0.652459593606577
"57","chr1",155610063,155610187,125,"+","MSTO2P",2524,"NR_024117",155610188,9423,0.410204123253265,0.0663774544735243,0.0651368113447593,0.410204123253265
"58","chr1",155745643,155745767,125,"+","MSTO2P",2531,"NR_024117",155745768,9440,0.20842140917236,0.707404253203428,0.0187939858789916,0.20842140917236
"59","chr1",156082500,156082572,73,"+","LMNA",2538,"NM_001282625",156082573,9504,-0.0267110737705516,0.732303337120002,-0.00054604183396522,-0.0267110737705516
"60","chr1",156114586,156114710,125,"+","LMNA",2539,"NM_005572",156114711,9522,0.668559393052245,0.0556218934371727,0.0516104649024669,0.668559393052245
"61","chr1",156126045,156126169,125,"+","LMNA",2543,"NM_001282624",156126170,9533,0.331267962875868,0.113192115608406,0.060032763100582,0.331267962875868
"62","chr1",156149819,156149943,125,"+","SEMA4A",2545,"NM_001193300",156149944,9548,-0.450460819849793,0.754260272426963,-0.00546964325541308,-0.450460819849793
"63","chr1",156154423,156154499,77,"+","SEMA4A",2552,"NM_001370567",156154548,9552,0.211582901701501,0.0663993829726439,0.050888896924923,0.211582901701501
"64","chr1",159008866,159008990,125,"+","IFI16",2646,"NM_001376589",159008991,9941,-1.27371991167358,0.0753601370799112,-0.0213924746811645,-1.27371991167358
"65","chr1",159009782,159009906,125,"+","IFI16",2647,"NM_001206567",159009907,9943,-0.173913953559116,0.750929151919705,-0.0147939879950158,-0.173913953559116
"66","chr1",162561315,162561439,125,"+","UAP1",2788,"NM_001324115",162561440,10430,-0.0236967567163385,0.800968359703491,-0.00513411545309933,-0.0236967567163385
"67","chr1",162561500,162561505,6,"+","UAP1",2791,"NM_003115",162561506,10431,0.293019782217418,0.147442927584179,0.0610009803225774,0.293019782217418
"68","chr1",162561774,162561898,125,"+","UAP1",2792,"NM_001324113",162561899,10431,0.293019782217418,0.147442927584179,0.0610009803225774,0.293019782217418
"69","chr1",167936114,167936238,125,"+","DCAF6",2840,"NM_001349774",167936239,10647,-0.0574565589442364,0.891516326846048,-0.0152123867402715,-0.0574565589442364
"70","chr1",167936500,167936558,59,"+","DCAF6",2842,"NM_001017977",167936559,10648,-0.32520922514742,0.0413270265373692,-0.0703823409642975,-0.32520922514742
"71","chr1",172532224,172532348,125,"+","SUCO",2923,"NM_016227",172532349,10821,-0.331814057667722,0.556667851742738,-0.0360352541635793,-0.331814057667722
"72","chr1",172533000,172533117,118,"+","SUCO",2924,"NM_001282751",172533118,10823,-0.223432269467806,0.0898087912785507,-0.102123527048793,-0.223432269467806
"73","chr1",172533025,172533149,125,"+","SUCO",2925,"NM_001282750",172533150,10823,-0.223432269467806,0.0898087912785507,-0.102123527048793,-0.223432269467806
"74","chr1",173867957,173867999,43,"+","ZBTB37",2936,"NM_001346115",173868082,10916,-0.282896257082514,0.199313684299497,-0.0224453345254348,-0.282896257082514
"75","chr1",173868255,173868379,125,"+","ZBTB37",2938,"NM_001122770",173868380,10917,-0.0190984835335664,0.886324146626091,-0.0048370868460923,-0.0190984835335664
"76","chr1",174159289,174159413,125,"+","RABGAP1L",2940,"NM_014857",174159414,10932,-0.194999327761956,0.327737026703722,-0.0415196299073111,-0.194999327761956
"77","chr1",174159500,174159519,20,"+","RABGAP1L",2941,"NR_158981",174159520,10933,-0.382637607005281,0.0982715160626079,-0.0371419419748745,-0.382637607005281
"78","chr1",174799613,174799737,125,"+","RABGAP1L",2953,"NM_001366455",174799738,10942,-0.278956716618295,0.891516326846048,-0.0103015194223374,-0.278956716618295
"79","chr1",174874261,174874385,125,"+","RABGAP1L",2958,"NM_001243763",174874386,15942,0.159169445736225,0.944897261205548,0.00239808386992579,0.159169445736225
"80","chr1",174874294,174874418,125,"+","RABGAP1L",2959,"NM_001366457",174874419,15942,0.159169445736225,0.944897261205548,0.00239808386992579,0.159169445736225
"81","chr1",174964653,174964777,125,"+","RABGAP1L",2961,"NM_001243764",174964778,10956,-0.478169794366728,0.174786566139727,-0.0538770968936362,-0.478169794366728
"82","chr1",201982523,201982647,125,"+","RNPEP",3182,"NM_001319183",201982648,12025,-0.145784452196355,0.601480315454083,-0.0200795422539178,-0.145784452196355
"83","chr1",201983236,201983360,125,"+","RNPEP",3185,"NM_001319182",201983361,12026,-0.425872549834387,0.13951982005458,-0.0435363289829276,-0.425872549834387
"84","chr1",206053048,206053172,125,"+","RHEX",3335,"NM_001007544",206053173,12491,0.899462578053719,0.0348689229079208,0.0294183227648339,0.899462578053719
"85","chr1",206083470,206083499,30,"+","RHEX",3336,"NM_001369490",206083595,18014,-1.00041209964549,0.627153414524337,-0.00397096752897878,-1.00041209964549
"86","chr1",206507406,206507499,94,"+","RASSF5",3348,"NM_182663",206507531,12545,0.532733358454209,0.0593442188000608,0.0263555084732793,0.532733358454209
"87","chr1",206557039,206557163,125,"+","RASSF5",3350,"NM_182665",206557164,12557,0.00438622685968096,0.980424553505366,0.00103110845419291,0.00438622685968096
"88","chr1",212608636,212608760,125,"+","ATF3",3467,"NM_001040619",212608761,13111,0.220216188664422,0.0109224200313066,0.0907862810617752,0.220216188664422
"89","chr1",212614893,212614999,107,"+","ATF3",3471,"NM_001206486",212615018,13117,-0.189600106516658,0.900919495369357,-0.00458177530037342,-0.189600106516658
"90","chr1",223701468,223701499,32,"+","CAPN2",3640,"NM_001146068",223701593,16472,0.385191587371814,0.814303407711694,0.00177570755006179,0.385191587371814
"91","chr1",223712414,223712499,86,"+","CAPN2",3641,"NM_001748",223712539,13490,0.347483698354139,0.0620354566578907,0.0472836976129512,0.347483698354139
"92","chr1",226061706,226061830,125,"+","H3-3A",3697,"NM_001379043",226061831,13676,0.257258076377992,0.843502497005633,0.00784038017635439,0.257258076377992
"93","chr1",226062145,226062269,125,"+","H3-3A",3698,"NM_001379045",226062270,13677,-0.279005165793508,0.0958667093846184,-0.0784094223760007,-0.279005165793508
"94","chr1",226062322,226062446,125,"+","H3-3A",3700,"NM_001379047",226062447,13677,-0.279005165793508,0.0958667093846184,-0.0784094223760007,-0.279005165793508
"95","chr1",226062591,226062715,125,"+","H3-3A",3701,"NM_002107",226062716,13678,-0.0196398300640671,1,-0.0068340941177874,-0.0196398300640671
"96","chr1",227787266,227787390,125,"+","LOC105373289",3729,"NR_168382",227787391,13804,1.11071236534779,0.424714436728409,0.00695817666648976,1.11071236534779
"97","chr1",227787527,227787651,125,"+","LOC105373289",3730,"NR_168383",227787652,13805,-0.257641563202169,0.835616827252396,-0.0042232600595374,-0.257641563202169
"98","chr1",227788395,227788499,105,"+","LOC105373289",3731,"NR_168384",227788520,13806,0.44107103625908,0.0426671634949682,0.0281408930215021,0.44107103625908
"99","chr1",244969744,244969868,125,"+","EFCAB2",3917,"NM_032328",244969869,14852,-0.479216281909212,0.0319578494485307,-0.0571639863604388,-0.479216281909212
"100","chr1",244970204,244970328,125,"+","EFCAB2",3918,"NM_001143943",244970329,14853,-0.1535583361529,0.533450226600517,-0.0295405355309871,-0.1535583361529
"101","chr1",244970265,244970389,125,"+","EFCAB2",3920,"NM_001290327",244970390,14853,-0.1535583361529,0.533450226600517,-0.0295405355309871,-0.1535583361529
"102","chr1",1758643,1758767,125,"-","NADK",4095,"NM_001198995",1758643,242,1.22996585585882,0.424818933030185,0.00785180813486351,1.22996585585882
"103","chr1",1778500,1778595,96,"-","NADK",4096,"NM_001353642",1778471,247,0.064282354424291,0.581850387130888,0.0114135902145416,0.064282354424291
"104","chr1",1778817,1778941,125,"-","NADK",4098,"NM_001198993",1778817,247,0.064282354424291,0.581850387130888,0.0114135902145416,0.064282354424291
"105","chr1",1780032,1780156,125,"-","NADK",4099,"NM_001198994",1780032,250,-0.380699800830431,0.0516882383638388,-0.0714824623267364,-0.380699800830431
"106","chr1",12596614,12596738,125,"-","DHRS3",4244,"NM_001324370",12596614,1327,0.42232432991817,0.124676518096288,0.0270887850368069,0.42232432991817
"107","chr1",12616790,12616914,125,"-","DHRS3",4245,"NM_001319225",12616790,18405,-0.168268139755297,0.832994892232697,-0.000824927280717586,-0.168268139755297
"108","chr1",12618211,12618335,125,"-","DHRS3",4246,"NM_004753",12618211,1338,0.168344364380555,0.966282310526876,0.00190825180164839,0.168344364380555
"109","chr1",16514286,16514410,125,"-","RNVU1-18",4308,"NR_004400",16514286,1635,0.0335395802824643,0.949727434470324,0.00246240628266575,0.0335395802824643
"110","chr1",17438537,17438661,125,"-","RCC2",4337,"NM_001136204",17438537,1753,0.506982654605271,0.0542564541939444,0.0421784566316965,0.506982654605271
"111","chr1",17439678,17439802,125,"-","RCC2",4338,"NM_018715",17439678,1755,-0.0413443135935744,0.939166521573311,-0.00608386612194103,-0.0413443135935744
"112","chr1",20786653,20786777,125,"-","HP1BP3",4393,"NM_001376787",20786653,2032,0.0243506337735149,0.891516326846048,0.00606171227532259,0.0243506337735149
"113","chr1",20786667,20786791,125,"-","HP1BP3",4399,"NM_001376794",20786667,2032,0.0243506337735149,0.891516326846048,0.00606171227532259,0.0243506337735149
"114","chr1",20786673,20786797,125,"-","HP1BP3",4404,"NM_016287",20786673,2032,0.0243506337735149,0.891516326846048,0.00606171227532259,0.0243506337735149
"115","chr1",20787308,20787432,125,"-","HP1BP3",4400,"NM_001372052",20787308,2033,-0.211943650519013,0.173388380386242,-0.0418428198979913,-0.211943650519013
"116","chr1",21290216,21290340,125,"-","ECE1",4414,"NM_001113349",21290216,2073,0.276422092292859,0.188023066758005,0.0314129589381098,0.276422092292859
"117","chr1",21290464,21290499,36,"-","ECE1",4415,"NM_001397",21290464,2073,0.276422092292859,0.188023066758005,0.0314129589381098,0.276422092292859
"118","chr1",21345505,21345629,125,"-","ECE1",4416,"NM_001113348",21345505,2101,-0.0330717500949861,0.988004141720096,-0.00548016010778943,-0.0330717500949861
"119","chr1",27626241,27626365,125,"-","FGR",4566,"NM_001042747",27626241,3079,-0.331920990671645,0.00822564888842717,-0.107274507179758,-0.331920990671645
"120","chr1",27626598,27626722,125,"-","FGR",4564,"NM_001042729",27626598,3080,-0.0355314584955492,0.971473481095191,-0.000665275547013702,-0.0355314584955492
"121","chr1",27635186,27635310,125,"-","FGR",4565,"NM_005248",27635186,3090,-0.23532651031782,0.371451623929685,-0.0433325063317371,-0.23532651031782
"122","chr1",32871000,32871037,38,"-","FNDC5",4705,"NM_001171940",32870913,3746,1.46043911074835,0.160856960604005,0.00497778146024566,1.46043911074835
"123","chr1",32872500,32872609,110,"-","FNDC5",4707,"NM_001171941",32872485,3747,0.587011934028753,0.223554813132789,0.0111817391186402,0.587011934028753
"124","chr1",36149500,36149611,112,"-","TRAPPC3",4768,"NM_001270896",36149487,4022,0.189048061958522,0.106560915590026,0.0767878008805351,0.189048061958522
"125","chr1",36149515,36149639,125,"-","TRAPPC3",4765,"NM_001270894",36149515,4022,0.189048061958522,0.106560915590026,0.0767878008805351,0.189048061958522
"126","chr1",36156054,36156178,125,"-","TRAPPC3",4767,"NM_001270895",36156054,4030,0.271049177686246,0.348454970005877,0.0337628351049997,0.271049177686246
"127","chr1",47314148,47314272,125,"-","STIL",5099,"NM_001048166",47314148,5254,0.0951615792404574,0.348454970005877,0.0261542584115509,0.0951615792404574
"128","chr1",47314897,47314999,103,"-","STIL",5105,"NM_001377417",47314897,5255,0.599156718108954,0.0503722348752006,0.0226853289677013,0.599156718108954
"129","chr1",74733051,74733175,125,"-","CRYZ",5348,"NM_001889",74733051,6238,-0.28567683390924,0.597174616478367,-0.0229134641204621,-0.28567683390924
"130","chr1",74733500,74733533,34,"-","CRYZ",5349,"NM_001130042",74733409,15683,-0.752984878888276,0.127086274951686,-0.0171917423322806,-0.752984878888276
"131","chr1",86156500,86156596,97,"-","COL24A1",5432,"NM_001349955",86156472,6456,-0.36283458273246,0.495981801136993,-0.01204814903381,-0.36283458273246
"132","chr1",86156773,86156897,125,"-","COL24A1",5436,"NM_152890",86156773,6456,-0.36283458273246,0.495981801136993,-0.01204814903381,-0.36283458273246
"133","chr1",86157000,86157109,110,"-","COL24A1",5439,"NR_146340",86156985,6457,-1.36060208410676,0.190224170437758,-0.00771143499504669,-1.36060208410676
"134","chr1",93681371,93681495,125,"-","BCAR3",5526,"NM_001261409",93681371,6845,0.402534278819903,0.707404253203428,0.00380992466158362,0.402534278819903
"135","chr1",93681838,93681962,125,"-","BCAR3",5524,"NM_003567",93681838,6846,0.212110296304548,0.525124090761025,0.00749515603282171,0.212110296304548
"136","chr1",93847220,93847344,125,"-","BCAR3",5525,"NM_001261408",93847220,6862,-0.215442902862726,0.189262758003794,-0.0173774695480589,-0.215442902862726
"137","chr1",109393358,109393482,125,"-","SORT1",5662,"NM_001205228",109393358,7313,0.895919496548634,0.0215967512047904,0.0261839424575559,0.895919496548634
"138","chr1",109398000,109398043,44,"-","SORT1",5663,"NM_002959",109397919,7319,-0.73227948976176,0.245402150828806,-0.0217991152206099,-0.73227948976176
"139","chr1",151346857,151346981,125,"-","RFX5",6186,"NM_001379412",151346857,8746,0.556434011319526,9.85111523671851e-05,0.0647636152722685,0.556434011319526
"140","chr1",151347000,151347124,125,"-","RFX5",6190,"NM_001379418",151347000,8747,-0.0914277219686742,0.891725848411888,-0.0260395331871284,-0.0914277219686742
"141","chr1",151347253,151347377,125,"-","RFX5",6191,"NM_000449",151347253,8747,-0.0914277219686742,0.891725848411888,-0.0260395331871284,-0.0914277219686742
"142","chr1",153563888,153563999,112,"-","S100A2",6261,"NM_001366406",153563888,17566,-0.169943466840287,0.814303407711694,-0.000720456820343608,-0.169943466840287
"143","chr1",153565845,153565969,125,"-","S100A2",6262,"NM_001366407",153565845,8970,0.557983210849093,0.00225829940871532,0.0541474771066312,0.557983210849093
"144","chr1",153985367,153985491,125,"-","RAB13",6290,"NM_001272038",153985367,16337,0.304180740328299,0.573009804878887,0.00175726455033978,0.304180740328299
"145","chr1",153986340,153986464,125,"-","RAB13",6289,"NR_073553",153986340,9079,0.9320965895362,0.172203344804524,0.0113402298987511,0.9320965895362
"146","chr1",155910919,155910999,81,"-","RIT1",6427,"NM_001256821",155910919,9453,1.29869630555039,0.0894219084843991,0.0113492795401853,1.29869630555039
"147","chr1",155911350,155911474,125,"-","RIT1",6428,"NM_001256820",155911350,9454,0.220948638322638,0.20310325424829,0.0494437391357546,0.220948638322638
"148","chr1",157045743,157045867,125,"-","ARHGEF11",6514,"NM_001377419",157045743,9774,0.275593730626139,0.385878147709986,0.0230682254845653,0.275593730626139
"149","chr1",157046904,157046999,96,"-","ARHGEF11",6517,"NM_001377418",157046904,9776,0.996349167777366,0.0303865821370092,0.0232903822122336,0.996349167777366
"150","chr1",161045000,161045109,110,"-","USF1",6623,"NM_001276373",161044985,10217,-0.285202077216231,0.121470080664883,-0.0582417442325193,-0.285202077216231
"151","chr1",161045978,161045999,22,"-","USF1",6624,"NM_007122",161045978,10218,-0.0687578924894616,0.876309378094581,-0.00937844812018565,-0.0687578924894616
"152","chr1",182391500,182391529,30,"-","GLUL",6888,"NM_001033056",182391405,11307,0.281207651153773,0.0396250422192485,0.0636645786007076,0.281207651153773
"153","chr1",182391791,182391915,125,"-","GLUL",6890,"NM_001033044",182391791,11307,0.281207651153773,0.0396250422192485,0.0636645786007076,0.281207651153773
"154","chr1",182392207,182392331,125,"-","GLUL",6889,"NM_002065",182392207,11308,0.0309540772390131,0.800000782271073,0.00105227724739299,0.0309540772390131
"155","chr1",202958000,202958109,110,"-","ADIPOR1",7053,"NM_001290553",202957985,12112,0.183144894666469,0.157025813123881,0.0457682131810614,0.183144894666469
"156","chr1",202958313,202958437,125,"-","ADIPOR1",7056,"NM_015999",202958313,12112,0.183144894666469,0.157025813123881,0.0457682131810614,0.183144894666469
"157","chr1",202958397,202958499,103,"-","ADIPOR1",7054,"NM_001290557",202958397,12112,0.183144894666469,0.157025813123881,0.0457682131810614,0.183144894666469
"158","chr1",202958573,202958697,125,"-","ADIPOR1",7055,"NM_001290629",202958573,12113,0.0877249022084305,0.914092765958703,0.000391183542968437,0.0877249022084305
"159","chr1",206770604,206770728,125,"-","IL10",7140,"NR_168467",206770604,12631,0.41685053841353,0.115264687874903,0.012068866075204,0.41685053841353
"160","chr1",206771190,206771314,125,"-","IL10",7141,"NM_001382624",206771190,12632,0.179566802484337,0.740012115704589,0.010950261813072,0.179566802484337
"161","chr1",206772495,206772499,5,"-","IL10",7142,"NM_000572",206772495,12633,0.6957611137116,0.211879639603194,0.0179836846727834,0.6957611137116
"162","chr1",243843283,243843407,125,"-","AKT3",7641,"NM_181690",243843283,14751,-0.81559877351092,0.03990253350827,-0.025614519334006,-0.81559877351092
"163","chr1",243843585,243843709,125,"-","AKT3",7642,"NM_001206729",243843585,20013,-1.89587435001037,0.224871873671215,-0.00695481801552406,-1.89587435001037
"164","chr1",243850244,243850368,125,"-","AKT3",7643,"NM_005465",243850244,14754,-0.438084737805431,0.149508476073216,-0.041539174276641,-0.438084737805431
"165","chr1",243851080,243851204,125,"-","AKT3",7644,"NM_001370074",243851080,14756,-0.797667575919344,0.418223519185449,-0.00992957685746152,-0.797667575919344
"166","chr2",24076708,24076832,125,"+","FAM228B",7872,"NM_001291328",24076833,998,-0.112343636503744,0.814303407711694,-0.0294005493624653,-0.112343636503744
"167","chr2",24123344,24123468,125,"+","FAM228B",7874,"NM_001145710",24123469,1005,-0.290026886875652,0.189109036903702,-0.0296530736196521,-0.290026886875652
"168","chr2",29114753,29114877,125,"+","CLIP4",8005,"NR_109844",29114878,1582,-0.822422966961049,0.0543806993918691,-0.0241060891972974,-0.822422966961049
"169","chr2",29115290,29115414,125,"+","CLIP4",8006,"NM_001287527",29115415,1583,-0.245788565891853,0.376556262028016,-0.0411872461705218,-0.245788565891853
"170","chr2",62705499,62705499,1,"+","EHBP1",8272,"NM_001354212",62705624,3271,0.469157169407555,0.00350954177976933,0.0556791956292406,0.469157169407555
"171","chr2",62705527,62705651,125,"+","EHBP1",8273,"NM_001142614",62705652,3272,0.226710924575357,0.108292856473517,0.0529858237630098,0.226710924575357
"172","chr2",62705588,62705712,125,"+","EHBP1",8279,"NM_001142616",62705713,3272,0.226710924575357,0.108292856473517,0.0529858237630098,0.226710924575357
"173","chr2",62706188,62706312,125,"+","EHBP1",8284,"NM_001354216",62706313,3273,0.0266126188426623,0.946500369102335,0.000924414294035433,0.0266126188426623
"174","chr2",62706772,62706896,125,"+","EHBP1",8285,"NM_001354217",62706897,3274,1.05880425014315,0.832994892232697,0.00597512696270722,1.05880425014315
"175","chr2",64988354,64988478,125,"+","SLC1A4",8317,"NM_001193493",64988479,3483,-0.180892310822122,0.665017161385163,-0.00795005220571697,-0.180892310822122
"176","chr2",64989274,64989398,125,"+","SLC1A4",8320,"NM_003038",64989399,3485,-0.297663996165889,0.193659569065482,-0.0923583040941309,-0.297663996165889
