"","seqnames","idx","start","end","Log2FC","FDR","MeanDiff"
"139214","chr3",88,4978500,4978999,0.863907321464416,9.57699561655464e-13,0.159672344315834
"134068","chr22",3,16601500,16601999,-1.57023925605877,1.19315043624337e-12,-0.0800441739664236
"110634","chr2",1234,26503500,26503999,1.36647055353238,3.01823073040493e-12,0.107502200137519
"25471","chr10",3441,72332000,72332499,1.04046961208657,3.1231813116688e-12,0.143706941686058
"32645","chr11",1263,10607500,10607999,-1.32716485807364,3.1231813116688e-12,-0.082752376047851
"210179","chrX",29,1334000,1334499,-1.06957280588481,3.19168914945241e-12,-0.139218091776776
"124776","chr2",11173,240625000,240625499,0.575933895725183,3.30381520147474e-12,0.219902741324334
"135696","chr22",1201,30263500,30263999,0.899974513189622,3.731607689071e-12,0.124773192225269
"209743","chr9",6280,136882500,136882999,1.53948541495333,4.31598951525546e-12,0.088293719869864
"200579","chr8",5706,143219500,143219999,1.28118169750306,5.90009524070548e-12,0.104875869171461
"99678","chr19",1994,8050500,8050999,0.557001896167901,7.05038621543877e-12,0.212914628571813
"175725","chr6",4349,44000500,44000999,1.25071326404309,1.63808018753871e-11,0.085628889229649
"43187","chr12",367,4153500,4153999,1.13843132523024,3.99433577360343e-11,0.0865763896596588
"208508","chr9",5430,131670000,131670499,-0.879569258423305,8.75381821653164e-11,-0.131626628209854
"124853","chr2",12167,240997000,240997499,-2.07012092754959,8.96987038645951e-11,-0.0653539902193619
"74537","chr16",1713,17361000,17361499,-0.735675160383184,9.65912676165117e-11,-0.151657511771957
"109539","chr2",429,10036000,10036499,0.879263512810907,1.10149636148811e-10,0.155979107431451
"142660","chr3",2545,48564000,48564499,0.762689472558258,1.10149636148811e-10,0.140881825993096
"100206","chr19",2407,10604000,10604499,-0.79510032157926,1.16719577555972e-10,-0.129562930568676
"64171","chr14",4205,100554000,100554499,-0.480873212410827,1.18179869323603e-10,-0.237451855018067
"32536","chr11",1179,9947500,9947999,-0.96190853385273,1.26898197467179e-10,-0.0987314335315022
"31740","chr11",602,2837000,2837499,-0.49582838237582,1.67085011486351e-10,-0.246043606816847
"85263","chr17",3508,36199000,36199499,1.3682728366828,1.67085011486351e-10,0.0949385343028543
"176432","chr6",4862,68635000,68635499,-0.806679113178974,2.5511820347861e-10,-0.111117266195909
"150904","chr3",8426,193894000,193894499,-0.864056748488118,2.72893782160138e-10,-0.139943413883649
"3010","chr1",2207,22832000,22832499,1.13081711798821,3.36812437363945e-10,0.0904830898400159
"25264","chr10",3289,71767000,71767499,-0.830853656249848,4.34679090346499e-10,-0.155385259808571
"84821","chr17",3164,31596500,31596999,0.870193677727084,5.03885721251684e-10,0.139183550024679
"155937","chr4",2990,85762000,85762499,-1.6507575150571,6.82852787122003e-10,-0.057548276104943
"39498","chr11",6252,79440500,79440999,-1.2851671892449,7.0392239591108e-10,-0.0717966557097566
"181663","chr6",8536,162184500,162184999,-0.764589461114388,8.3652446327049e-10,-0.135746260079418
"52956","chr12",7338,122946500,122946999,0.977825162488583,8.66317920494629e-10,0.0750490380920411
"59349","chr14",769,35365500,35365999,0.660575817631119,1.03607130973378e-09,0.125081167852425
"186682","chr7",3232,69256500,69256999,-0.724052451727698,1.77487423150135e-09,-0.127860091720508
"35548","chr11",3309,61696000,61696499,0.802524049372161,1.98090008415449e-09,0.123631632418547
"104264","chr19",5526,38565500,38565999,-0.927097932604099,1.98090008415449e-09,-0.128207979690289
"52957","chr12",7339,122947000,122947499,0.906295194294229,2.01666140989435e-09,0.0629638024280527
"32734","chr11",1323,10902500,10902999,-1.13202049339898,2.41191895424466e-09,-0.0846177591222701
"54800","chr13",632,30845500,30845999,-0.877525000079671,2.500287746079e-09,-0.145278966689191
"17837","chr1",13079,212486000,212486499,0.441323727171875,2.88201499787449e-09,0.142594050063606
"29158","chr10",6094,113170000,113170499,-0.691140433705751,3.54891503531641e-09,-0.152461177590007
"77","chr1",60,1009000,1009499,1.39616189531268,3.71480260344456e-09,0.0607299808122199
"100147","chr19",2360,10461000,10461499,0.410565490597617,3.78865594301168e-09,0.195311689414254
"72613","chr16",340,1872000,1872499,1.83165433605098,4.09321089292497e-09,0.0579827405190219
"85269","chr17",3514,36212000,36212499,1.04900449885637,4.09321089292497e-09,0.0694343809180597
"191359","chr7",6550,148620500,148620999,1.42491338114136,4.09321089292497e-09,0.0637539953888754
"209854","chr9",6364,137077000,137077499,1.20916784424138,4.61391641162564e-09,0.0833017754365731
"215521","chrY",90,7542500,7542999,-2.45047614672038,5.77115675708004e-09,-0.0563902596273338
"150957","chr3",8465,194135500,194135999,-0.885759100232,6.41481131081696e-09,-0.0739776032573307
"152301","chr4",517,3402500,3402999,-0.75756638863356,6.56768515122127e-09,-0.117066957952646
"36788","chr11",4231,65362500,65362999,-0.743682802082638,6.59630960611453e-09,-0.144305683684963
"139230","chr3",99,5006500,5006999,0.752845199542076,6.59630960611453e-09,0.0947418046459801
"157876","chr4",4356,141332500,141332999,-0.632717732887675,6.59630960611453e-09,-0.158958780379934
"64574","chr14",4487,103119000,103119499,0.763374105651322,7.64611147168259e-09,0.159830441954577
"102511","chr19",4185,18171500,18171999,-0.664046662267777,9.86038947220356e-09,-0.162911497484839
"135695","chr22",1200,30263000,30263499,0.875990168751069,9.86305208451219e-09,0.087508348651746
"149037","chr3",7093,160837500,160837999,-1.24830452885749,9.86305208451219e-09,-0.0997563844992893
"165693","chr5",4150,135456000,135456499,0.898283455596637,9.86305208451219e-09,0.0990894210419132
"112693","chr2",2701,47002500,47002999,-0.782365589372349,1.19851605980346e-08,-0.147326166924094
"67124","chr15",1410,52101000,52101499,1.34619524040432,1.21008502841635e-08,0.0488837027482428
"1227","chr1",880,9067000,9067499,1.74113697349691,1.23777620248056e-08,0.0632235347734701
"53235","chr12",7545,124494000,124494499,-0.912026293580671,1.25668557318468e-08,-0.132466552814905
"126518","chr20",1083,17615500,17615999,-1.25625243781632,1.25668557318468e-08,-0.0651295053397516
"61334","chr14",2223,70655500,70655999,-1.36707347791226,1.27684230136851e-08,-0.0897709360755635
"108995","chr2",25,2682000,2682499,-0.747830476642865,1.57612101410261e-08,-0.119774030480767
"672","chr1",465,3313000,3313499,2.6100548370621,1.70954989970769e-08,0.0520237412085323
"175660","chr6",4287,43702500,43702999,1.01578663521792,1.7203497399332e-08,0.0830328275266533
"209270","chr9",5943,135883500,135883999,-1.25361677948103,1.72722429016382e-08,-0.0652063061604481
"148045","chr3",6399,146544500,146544999,0.71099379857252,1.80791370260037e-08,0.129213489552361
"59350","chr14",770,35366000,35366499,0.968969627216841,1.84274071056125e-08,0.0859506106539137
"151994","chr4",291,2413000,2413499,0.740600893952906,1.99878992726603e-08,0.127470498217605
"110628","chr2",1228,26477500,26477999,3.75702340176275,2.15350044774699e-08,0.0285694645701599
"191880","chr7",6946,151797000,151797499,0.520976537127034,2.21044470685827e-08,0.109531621327925
"8549","chr1",6331,83761000,83761499,-1.34983876635026,2.25915923161423e-08,-0.0884653036799865
"34384","chr11",2472,46210000,46210499,1.16943699725728,2.52409625946647e-08,0.0943512700319325
"120848","chr2",8423,186914000,186914499,-1.1615794888045,2.5292852551649e-08,-0.0711234061481382
"126517","chr20",1082,17615000,17615499,-1.203376511375,2.97000336598652e-08,-0.0783453776833423
"43402","chr12",526,6345500,6345999,0.84125552398582,3.15073847415173e-08,0.0574206518570451
"124829","chr2",11196,240960500,240960999,-0.783772048703965,3.15073847415173e-08,-0.11743784025721
"159997","chr5",207,6766500,6766999,0.827143910165141,3.15073847415173e-08,0.130280305988763
"39500","chr11",6254,79441500,79441999,-1.23054458194998,3.37987421802024e-08,-0.0778928190822589
"29202","chr10",6116,113310500,113310999,-1.24388156338533,3.74432718707799e-08,-0.0722153756362955
"126563","chr20",1103,17850500,17850999,-1.39755575168468,3.93539714019542e-08,-0.0576135347852426
"70788","chr15",4036,87724500,87724999,-1.04554426101809,4.16842742952488e-08,-0.067807124191311
"144565","chr3",3917,71982500,71982999,0.683194422345357,4.71343291660717e-08,0.103532966207048
"81616","chr17",776,4759500,4759999,-1.00273407005184,4.97309814981155e-08,-0.0762520977168161
"28546","chr10",7712,103570000,103570499,-1.41556029539155,4.99692433595598e-08,-0.0847273225833519
"137766","chr22",2725,42500000,42500499,0.664660097687706,5.24640991575054e-08,0.138347667045357
"139542","chr3",332,10174000,10174499,0.746366385143583,5.41013165661267e-08,0.117824183161646
"196236","chr8",2742,66124000,66124499,1.20568129228719,5.41013165661267e-08,0.0713788107646013
"39499","chr11",6253,79441000,79441499,-1.20398163948073,6.77883158862306e-08,-0.0577045280815211
"125680","chr20",499,3745000,3745499,0.793290016178058,7.84618293084741e-08,0.122789964797277
"29207","chr10",6120,113320000,113320499,-0.910514038093818,7.93545868583217e-08,-0.0837737534317937
"53381","chr12",7649,124727000,124727499,0.706797092797618,8.17977848726814e-08,0.0983667819534485
"79288","chr16",5248,85291500,85291999,-0.43257129787477,8.29700882091504e-08,-0.231336115567521
"32746","chr11",1332,10931000,10931499,-0.652226196641278,8.72974019272413e-08,-0.124639112918415
"131129","chr20",4426,63553000,63553499,0.897487933299857,8.72974019272413e-08,0.0621082667926361
"61171","chr14",2121,69351000,69351499,-1.4150820628982,8.8678834700988e-08,-0.0607850201166893
"28465","chr10",5631,103241500,103241999,0.924811021340101,9.29749819352719e-08,0.0670162154724901
"11856","chr1",8737,151311500,151311999,0.690588138747326,9.42981548541221e-08,0.0814991006801845
"122099","chr2",9271,207424000,207424499,-1.56866772908617,9.42981548541221e-08,-0.0533572352201799
"116290","chr2",5243,101219500,101219999,-1.07191714116195,1.02659608928243e-07,-0.072871651068048
"69674","chr15",3252,75198500,75198999,-0.740057388264768,1.10109574304504e-07,-0.123521954351305
"138733","chr22",3442,49971500,49971999,0.829463854545729,1.11746809392662e-07,0.0818659335128954
"105672","chr19",6564,44747500,44747999,0.642397736208472,1.1234085269767e-07,0.129025742398516
"82308","chr17",1303,7841500,7841999,0.575450326997165,1.13139595250382e-07,0.108708820817384
"115553","chr2",4733,88694000,88694499,-0.987924570278212,1.13416020383352e-07,-0.0927516129498752
"43401","chr12",525,6345000,6345499,1.28838798692981,1.33427879537816e-07,0.0366030070078385
"209227","chr9",5916,134925000,134925499,0.579467859863463,1.3435665604704e-07,0.117138733395907
"56778","chr13",1990,76732500,76732999,-1.26833582523466,1.36845616102978e-07,-0.0697956850856954
"138558","chr22",3312,46754500,46754999,0.619699113425889,1.36845616102978e-07,0.106617057246051
"73453","chr16",6220,4513000,4513499,-1.87089394653369,1.4435670500371e-07,-0.0688296730992398
"161552","chr5",1294,54774500,54774999,-0.534234490361986,1.46902482302373e-07,-0.127190268575184
"174590","chr6",3479,36127500,36127999,1.05843619735397,1.58012271324136e-07,0.0854908820939597
"16395","chr1",11996,201714500,201714999,0.981309884506837,1.80132535599379e-07,0.101635093900714
"56034","chr13",1469,48653500,48653999,-0.670893418397909,1.80132535599379e-07,-0.120962836554019
"138732","chr22",3441,49971000,49971499,0.689793924217249,1.80132535599379e-07,0.103980802465261
"49296","chr12",4742,82884000,82884499,-1.90261292872141,1.81257058941934e-07,-0.0548765378172922
"161797","chr5",1455,56701000,56701499,-1.70784516486302,1.84900622654345e-07,-0.0291603066292236
"2265","chr1",1651,16895500,16895999,-1.31468222531204,1.95047817742811e-07,-0.0736036172574483
"204196","chr9",2161,87713500,87713999,0.690800832128154,2.10126259336066e-07,0.1270536864302
"64563","chr14",4476,103109000,103109499,0.809192873424669,2.15370872392716e-07,0.0699132075940011
"97079","chr19",105,703500,703999,0.383122339972254,2.2077132999954e-07,0.164405905080792
"204351","chr9",2271,89440500,89440999,0.606036134031188,2.2567302862999e-07,0.118852217681443
"155936","chr4",2989,85761500,85761999,-1.54763008926206,2.30055984701283e-07,-0.0432209579016922
"91641","chr17",8299,78542000,78542499,0.904984847166637,2.45808844067916e-07,0.0728311138108819
"31802","chr11",636,2929500,2929999,0.755550749205045,2.51299127114508e-07,0.0872801162101093
"97875","chr19",657,2035000,2035499,0.607538850064661,2.51299127114508e-07,0.0966992228758938
"3465","chr1",16867,25065000,25065499,-3.10872102577724,2.55314864780362e-07,-0.0286423801282547
"72821","chr16",501,2510000,2510499,1.90530823752066,2.79787665757166e-07,0.0435902746100963
"124830","chr2",11197,240961000,240961499,-0.802848119505074,2.97328769149275e-07,-0.118798727346093
"2996","chr1",2196,22710500,22710999,0.850135980368024,3.00319241900358e-07,0.104888203128984
"139215","chr3",89,4979000,4979499,0.593941451016116,3.1111995617558e-07,0.0995067062813381
"193549","chr8",879,22715500,22715999,0.728584552216064,3.37827643489414e-07,0.105879324907573
"7973","chr1",5945,64599000,64599499,-1.37927022516007,3.42098149419026e-07,-0.0503402039327875
"208603","chr9",5498,132241000,132241499,0.405392473887463,3.51058947211745e-07,0.186446097080564
"159510","chr4",5445,184617500,184617999,-1.52973178399886,3.51172687427544e-07,-0.0487624142903487
"198160","chr8",6797,108201500,108201999,-2.18417739904516,3.59562982377064e-07,-0.0333085459964948
"193314","chr8",698,21182000,21182499,0.996921701616322,3.80965019777367e-07,0.0561608396245877
"115669","chr2",4816,96148500,96148999,0.639613733911792,3.86071126273444e-07,0.12120072661114
"191879","chr7",6945,151796500,151796999,0.388224786908129,3.89591699650539e-07,0.128689718461975
"65370","chr15",5092,29402500,29402999,-2.5936632624129,3.97387006835488e-07,-0.0397973833898733
"139543","chr3",333,10189500,10189999,1.08718871268788,3.97387006835488e-07,0.0741875853050494
"192755","chr8",300,10711000,10711499,0.778549681329312,4.0694658101879e-07,0.0808735408167075
"10705","chr1",7885,115282500,115282999,1.86705828081972,4.26559067709578e-07,0.0418591316646913
"59863","chr14",1154,52315000,52315499,-0.670436679591744,4.48840845381904e-07,-0.110702386460811
"13246","chr1",9785,157106500,157106999,0.641341727484549,4.54110010893287e-07,0.0960995246871426
"28311","chr10",5524,102633500,102633999,-0.844924379113179,4.69232862859587e-07,-0.0834056547383762
"103219","chr19",4718,21314500,21314999,-0.948075855113179,4.89877216566458e-07,-0.103689522523209
"25235","chr10",3263,71746500,71746999,-0.712344724490382,4.96588822519445e-07,-0.0751694364228372
"130914","chr20",4266,62728000,62728499,0.731229680320497,4.96588822519445e-07,0.0764554368653438
"7876","chr1",5874,62356500,62356999,1.02429431376412,5.1202621373395e-07,0.0869309964396233
"34633","chr11",2659,47391000,47391499,0.483957971371697,5.13052754533328e-07,0.134536235760845
"2474","chr1",1811,18160500,18160999,-0.619566883642382,5.42290373938265e-07,-0.15241820509545
"108332","chr19",8645,54655000,54655499,1.13660530858173,5.42420283035178e-07,0.0726115946430651
"38611","chr11",5602,73289000,73289499,0.63655462832853,5.82271686998837e-07,0.119195285974253
"4573","chr1",3388,29985000,29985499,-1.57862835148449,5.93333108299973e-07,-0.058894084973335
"127733","chr20",1959,34558500,34558999,0.568984059965632,6.03192251669218e-07,0.0990229339469511
"130685","chr20",4095,60008500,60008999,1.14395222551388,6.03192251669218e-07,0.0673239412424317
"27102","chr10",4620,92747500,92747999,-1.23053876515202,6.15321216527822e-07,-0.0787919167198556
"23841","chr10",2248,47558000,47558499,-1.96788681420902,6.93322960970472e-07,-0.0498165556181922
"171221","chr6",9829,12539000,12539499,-2.00522284682857,7.19592490849806e-07,-0.0412205474913475
"15029","chr1",11044,178934500,178934999,-1.50127820008884,7.43602252599445e-07,-0.0655427648976277
"127145","chr20",1537,25310500,25310999,0.777429081332017,7.43602252599445e-07,0.0581083856784185
"212327","chrX",1496,48667500,48667999,-0.898232946080883,7.49904972881998e-07,-0.110577722930058
"26575","chr10",4236,86971000,86971499,0.758348512420894,7.53495937141384e-07,0.0800728145528107
"49693","chr12",4972,92445000,92445499,-0.737488816296796,7.54057669992567e-07,-0.0975278273557146
"138689","chr22",3405,49934000,49934499,0.987211391259938,7.7518954669501e-07,0.0774822575958427
"192193","chr7",7188,157298500,157298999,0.654482588146665,8.12343999384743e-07,0.0964185229553318
"110031","chr2",11521,16713000,16713499,-2.13338315962701,8.78781391578826e-07,-0.0365893540114932
"159511","chr4",5446,184618000,184618499,-1.68738565697575,9.00631052945637e-07,-0.0315831786286066
"186774","chr7",3300,73433500,73433999,0.848051646602578,9.00631052945637e-07,0.105167098092225
"116815","chr2",5625,109213500,109213999,0.432418785781861,9.09131564715648e-07,0.128080757709626
"25423","chr10",3401,72260500,72260999,0.470258024741115,9.17154356748442e-07,0.149344124307655
"90132","chr17",7177,74354000,74354499,0.894663339756934,9.17782561995696e-07,0.0635040310210133
"96835","chr18",2632,79643000,79643499,-0.841761774610656,9.77658248020566e-07,-0.0833989362030468
"124854","chr2",11483,240997500,240997999,-2.02045671377855,1.07011750070052e-06,-0.0369506207483673
"194571","chr8",1623,37332000,37332499,-0.903833064159707,1.07468621416841e-06,-0.059763522710681
"108776","chr19",8991,56839000,56839499,0.63977633755604,1.08428298565733e-06,0.148745919820128
"3329","chr1",2466,24745000,24745499,0.318391726592693,1.12642378717726e-06,0.153652324010921
"98492","chr19",1114,3573500,3573999,0.624803132449297,1.12765042961294e-06,0.142074972379086
"167935","chr5",5785,158502500,158502999,-0.962559788361405,1.13648076558842e-06,-0.0799050299423663
"94886","chr18",1243,35637000,35637499,-1.59474020666955,1.16608936413089e-06,-0.0444160937439943
"98735","chr19",1281,4328500,4328999,0.920982476124401,1.23469939935243e-06,0.0790248773911986
"13997","chr1",10323,161389500,161389999,0.492861622666887,1.26491017702784e-06,0.096372330298533
"126588","chr20",1120,17965000,17965499,-0.793569959093907,1.27020904636101e-06,-0.0863194328429608
"97402","chr19",331,1123000,1123499,0.952889979819907,1.29421551051196e-06,0.0821419918540034
"117","chr1",88,1064000,1064499,1.02486135676342,1.41299067596625e-06,0.0552160067389956
"93130","chr17",9413,83192500,83192999,1.04877262639134,1.42036135522907e-06,0.0565952780446379
"61083","chr14",2062,68822000,68822499,-0.70352501036757,1.42922709168943e-06,-0.0866745539799323
"125960","chr20",704,4947000,4947499,-0.812684729079016,1.42922709168943e-06,-0.0887805311330284
"174733","chr6",3591,36678500,36678999,0.49078388355524,1.43866832394116e-06,0.134857886529348
"100204","chr19",2405,10603000,10603499,-0.839527284059497,1.48788432527786e-06,-0.102254145321183
"54263","chr13",237,24274500,24274999,0.668400563973127,1.50119823960206e-06,0.0867129001577525
"34164","chr11",2319,44569000,44569499,0.696236242628925,1.53147342622063e-06,0.111600601997635
"45196","chr12",1811,27712000,27712499,-0.653491692945739,1.55327805379664e-06,-0.0873681205515356
"55189","chr13",901,40478000,40478499,-0.911007824855786,1.55327805379664e-06,-0.0875698206859803
"47041","chr12",3149,52903500,52903999,0.76250754815977,1.56998929073947e-06,0.0765209962262452
"192254","chr7",7225,157846000,157846499,-0.792486583629671,1.69755159530694e-06,-0.075797456116714
"194569","chr8",1621,37330000,37330499,-1.03385287200949,1.82902957456721e-06,-0.0713222384217775
"188850","chr7",4786,102425500,102425999,0.525193224693666,1.87182047552179e-06,0.0895760034817107
"193540","chr8",872,22703500,22703999,0.980357736783326,1.88047986660566e-06,0.0663896129071724
"193313","chr8",697,21169500,21169999,1.29672125837681,1.88307341724584e-06,0.0442280067676699
"20467","chr1",14991,247359000,247359499,1.10031971034432,1.90780467557588e-06,0.0630200377663272
"176427","chr6",4860,68628500,68628999,-1.97835568733288,1.91662892013024e-06,-0.0306734244154981
"85878","chr17",3988,40314500,40314999,0.944869438756352,1.92301536370879e-06,0.0700218693945403
"124626","chr2",11056,239465000,239465499,0.787433938148964,1.92301536370879e-06,0.083206956399206
"148756","chr3",6885,156681000,156681499,-1.20483653022223,1.92301536370879e-06,-0.0725050510338021
"30930","chr11",57,356000,356499,0.95147883828139,1.95700421903061e-06,0.0604358761331053
"186004","chr7",2756,44980500,44980999,0.540969697778954,2.13644339821678e-06,0.146015435963767
"90079","chr17",7140,74193500,74193999,0.663731761623575,2.27125205335085e-06,0.0815426919930989
"106261","chr19",7021,46634000,46634499,0.59227016884458,2.30832005788247e-06,0.110254081050473
"200088","chr8",5383,140578500,140578999,-1.19381261465629,2.347410175341e-06,-0.0737840437797415
"137166","chr22",2284,39282500,39282999,0.72427914288713,2.34849770469857e-06,0.0564299980927238
"182195","chr7",61,601500,601999,0.719381415966744,2.35942696391913e-06,0.0678364988892362
"53124","chr12",7469,123941500,123941999,1.29785388294866,2.61859328001601e-06,0.0618329169605736
"110061","chr2",11522,17582000,17582499,-2.05301486865432,2.61859328001601e-06,-0.0281294139116481
"63869","chr14",4026,97572000,97572499,-1.13477406483268,2.65592978540349e-06,-0.0693703265961002
"73970","chr16",1317,11379500,11379999,1.3355718452683,2.67241637514158e-06,0.0452610329745237
"171583","chr6",1214,14735000,14735499,1.00019951607069,2.67241637514158e-06,0.0561427078546821
"19902","chr1",14592,236144000,236144499,-1.97481179298011,2.68861766070175e-06,-0.0403158198197982
"99701","chr19",2013,8240500,8240999,3.45350495807098,2.68861766070175e-06,0.0250010597754533
"128583","chr20",2584,40689500,40689999,-0.496503290660208,3.13386126178716e-06,-0.171965485209603
"165237","chr5",3807,132294000,132294499,0.620000249555796,3.13386126178716e-06,0.128010721033108
"21830","chr10",823,14602000,14602499,1.47616483198183,3.15157554648594e-06,0.0420452028646646
"93210","chr18",50,712500,712999,0.701492629954726,3.15157554648594e-06,0.089237679394423
"44338","chr12",1214,12010000,12010499,0.762127534355091,3.24274012859779e-06,0.074006992166178
"182196","chr7",62,602000,602499,0.811439393941961,3.24274012859779e-06,0.0613360389103168
"132039","chr21",409,31613500,31613999,-0.829969206659391,3.47739287995129e-06,-0.0644631896706196
"23979","chr10",2352,49280000,49280499,1.13200450200353,3.66868339088954e-06,0.0725972349963875
"12333","chr1",9084,154115000,154115499,-1.0241079861539,3.76002364278484e-06,-0.0669576052232081
"71846","chr15",4789,99425000,99425499,1.14658646335739,3.92939379390198e-06,0.0742264724456639
"20465","chr1",14990,247357500,247357999,2.40197891704824,4.2313160474905e-06,0.0302538506282673
"126990","chr20",1415,23152500,23152999,0.762064199230116,4.35744861801717e-06,0.066104032887831
"94342","chr18",860,22282500,22282999,-1.22247987864105,4.5118893261498e-06,-0.0570117830626141
"117527","chr2",6154,120230500,120230999,4.00911481613075,4.51542318300063e-06,0.0175223364435433
"185516","chr7",2409,38368000,38368499,0.805021645346991,4.51542318300063e-06,0.0917347977454122
"45255","chr12",1855,29204500,29204999,-1.31842345288795,4.68641161849235e-06,-0.0546230612036916
"74657","chr16",1799,19172000,19172499,-1.23669417414798,4.69161791097244e-06,-0.0606701022767922
"125141","chr20",91,829000,829499,-0.942655716586855,4.7208929939657e-06,-0.0829225682597713
"124627","chr2",11057,239465500,239465999,0.565114469192991,4.74735260757754e-06,0.103808115324976
"104549","chr19",5741,39557500,39557999,1.39839028468145,4.85115211139418e-06,0.0247679672066587
"181662","chr6",8535,162184000,162184499,-1.38414006356164,4.85115211139418e-06,-0.0365608567537504
"65704","chr15",5106,38004500,38004999,-1.91103592881645,4.93351380072333e-06,-0.034635810603489
"145952","chr3",4859,119562500,119562999,0.687638174977637,5.09176037866687e-06,0.0749878059159536
"8975","chr1",6641,89557000,89557499,-0.995943755705643,5.68674322774621e-06,-0.0655345017224206
"174579","chr6",3473,36118500,36118999,0.545182338855884,5.68674322774621e-06,0.0805312680651704
"79056","chr16",5084,84601500,84601999,-0.734283832129435,5.78687499911695e-06,-0.109025863544475
"80214","chr16",5873,89298000,89298499,-0.983794825872899,5.80658752444631e-06,-0.0686052861106448
"60947","chr14",1967,68397000,68397499,-0.695094722434053,5.87277147399202e-06,-0.0812197403609816
"17104","chr1",12543,206504000,206504499,0.696946499189049,5.88663087923536e-06,0.0630911966277139
"192194","chr7",7189,157299500,157299999,1.04070445857244,5.98566943053438e-06,0.042011815805418
"40851","chr11",7192,114154500,114154999,-0.744311424313716,5.99347212258654e-06,-0.0872511217589519
"20702","chr10",47,2021000,2021499,-1.80189370319254,6.36908167036029e-06,-0.0434067692091856
"128439","chr20",2486,38805000,38805499,-1.03182969479968,6.36908167036029e-06,-0.0740763604174775
"7974","chr1",5946,64599500,64599999,-1.87763704036028,6.51721496273892e-06,-0.0248833876794959
"64438","chr14",4390,102531000,102531499,-0.765227390680832,6.79062585603303e-06,-0.0839479967436605
"135680","chr22",1185,30212500,30212999,0.932812175167534,7.18744666031615e-06,0.0572529474224573
"127632","chr20",1887,33724500,33724999,-0.572274176221921,7.36711792381934e-06,-0.0943078895692692
"150330","chr3",8043,186242500,186242999,1.0594612395873,7.36711792381934e-06,0.0501269564680976
"61084","chr14",2063,68822500,68822999,-0.958105785113776,7.51719994422988e-06,-0.0558074826314702
"114928","chr2",4290,74740500,74740999,1.07087350776793,7.61504318034187e-06,0.0704652343796557
"159649","chr4",5552,185740500,185740999,-0.960546037825333,7.68025092275492e-06,-0.0873606236674125
"183972","chr7",1324,20541500,20541999,-0.973938889256345,7.73285637113355e-06,-0.0805961218557023
"153619","chr4",1423,36310500,36310999,-0.893564613122089,7.75547476943057e-06,-0.0658277600079179
"29996","chr10",6674,124341500,124341999,0.620951277501031,7.82772601684603e-06,0.0697605822274287
"59148","chr14",628,31770000,31770499,-0.800762619240901,7.88793343047253e-06,-0.079399405236187
"71300","chr15",4391,90660500,90660999,0.989625246788636,7.89969047201462e-06,0.0647015994291243
"1632","chr1",1193,11842000,11842499,-1.35161870276984,7.96784516454954e-06,-0.0441110326215654
"192198","chr7",7192,157302500,157302999,0.825630619433345,8.05758340083997e-06,0.0650237103093583
"77553","chr16",3985,67391500,67391999,-1.15844293668578,8.25357122873835e-06,-0.0737975874927076
"106046","chr19",6856,45671000,45671499,0.697578801193431,8.96033265352239e-06,0.0485756736953276
