"","Tile1","Tile2","cellTypes"
"41","chr1:5989609-5993463","chr1:6537396-6554801","Ery"
"42","chr1:5989609-5993463","chr1:6686358-6703327","Mac2,MK"
"43","chr1:5989609-5993463","chr1:6785205-6800973","MK"
"44","chr1:6198474-6214267","chr1:3881384-3886784","nCD8,Neu"
"45","chr1:6198474-6214267","chr1:5993463-5998299","nCD8,Neu"
"46","chr1:6198474-6214267","chr1:5998299-6002123","Mac0,Mac1,Mac2,Mon"
"47","chr1:6198474-6214267","chr1:6043485-6056841","Mac0,Mac1,Mac2,Mon"
"48","chr1:6198474-6214267","chr1:6056841-6057621","Mac0,Mac1,Mac2,Mon"
"49","chr1:6198474-6214267","chr1:6057621-6062997","Mac1,Mac2"
"50","chr1:6198474-6214267","chr1:6067657-6070580","Ery"
"51","chr1:6380799-6406866","chr1:6686358-6703327","nCD4"
"52","chr1:6537396-6554801","chr1:6633303-6648074","Ery"
"53","chr1:6537396-6554801","chr1:6666183-6670228","Ery"
"54","chr1:6537396-6554801","chr1:6686358-6703327","Mac2,MK"
"55","chr1:6537396-6554801","chr1:6785205-6800973","nCD4"
"56","chr1:6554801-6574224","chr1:6633303-6648074","Ery"
"57","chr1:6554801-6574224","chr1:6662870-6666183","Ery"
"58","chr1:6554801-6574224","chr1:6666183-6670228","Ery"
"59","chr1:6554801-6574224","chr1:6686358-6703327","Ery"
"60","chr1:6575235-6587530","chr1:6686358-6703327","nCD8"
"61","chr1:6609449-6615832","chr1:5993463-5998299","nCD8"
"62","chr1:6609449-6615832","chr1:5998299-6002123","nCD4,nCD8"
"63","chr1:6609449-6615832","chr1:6537396-6554801","nCD4"
"64","chr1:6609449-6615832","chr1:6633303-6648074","Ery"
"65","chr1:6609449-6615832","chr1:6686358-6703327","Mac2,MK"
"66","chr1:6609449-6615832","chr1:6785205-6800973","nCD8,Neu"
"67","chr1:6623523-6628343","chr1:5993463-5998299","nCD4,nCD8"
"68","chr1:6623523-6628343","chr1:6537396-6554801","nCD4"
"69","chr1:6623523-6628343","chr1:6633303-6648074","MK"
"70","chr1:6686358-6703327","chr1:6884964-6888309","nCD8,Neu"
"71","chr1:6780828-6785205","chr1:5993463-5998299","MK"
"72","chr1:6780828-6785205","chr1:6884964-6888309","Mon"
"73","chr1:6780828-6785205","chr1:7766240-7768501","Mac1"
"74","chr1:6780828-6785205","chr1:16447602-16450032","MK"
"75","chr1:6785205-6800973","chr1:6884964-6888309","Mac2"
"76","chr1:6785205-6800973","chr1:6891711-6899358","MK"
"77","chr1:7768501-7773212","chr1:7899879-7900073","MK,Neu"
"78","chr1:7768501-7773212","chr1:7900073-7901174","MK,Neu"
"79","chr1:7768501-7773212","chr1:7901174-7902080","Mac1,Neu"
"80","chr1:7768501-7773212","chr1:7937607-7938667","MK"
"81","chr1:7780309-7788406","chr1:7897007-7899879","MK"
"82","chr1:7780309-7788406","chr1:7899879-7900073","MK"
"83","chr1:7780309-7788406","chr1:7900073-7901174","MK"
"84","chr1:7780309-7788406","chr1:7901174-7902080","Mac1"
"85","chr1:7780309-7788406","chr1:7937607-7938667","Neu"
"86","chr1:7780309-7788406","chr1:8386095-8393916","Mac0,Mac1,Mac2"
"87","chr1:7948055-7976031","chr1:8306778-8314405","Neu"
"88","chr1:7948055-7976031","chr1:8386095-8393916","nCD4"
"89","chr1:8315818-8321184","chr1:7976354-7992070","nCD4,MK"
"90","chr1:8424281-8427354","chr1:8519949-8521899","nCD4,MK"
"91","chr1:8424281-8427354","chr1:8521899-8525443","MK"
"92","chr1:8424281-8427354","chr1:8525537-8531138","MK,Neu"
"93","chr1:8424281-8427354","chr1:8547110-8549545","Mac1"
"94","chr1:8424281-8427354","chr1:8689063-8698882","Mac1"
"95","chr1:8424281-8427354","chr1:8733584-8734453","Mac1"
"96","chr1:8424281-8427354","chr1:8734453-8737250","Neu"
"97","chr1:8424281-8427354","chr1:8846110-8857313","nCD4,Neu"
"98","chr1:8813934-8820173","chr1:8412935-8418296","nCD4,MK"
"99","chr1:8813934-8820173","chr1:8521899-8525443","MK,Neu"
"100","chr1:8813934-8820173","chr1:8547110-8549545","nCD8,Neu"
"101","chr1:8877548-8880652","chr1:9003372-9005170","Mac0,Mac1,Mac2"
"102","chr1:9126508-9134693","chr1:9570484-9573189","Mac0,Mac1,Mac2"
"103","chr1:9290614-9297165","chr1:9570484-9573189","Mac1"
"104","chr1:9538416-9553560","chr1:9268710-9276918","Mac0,Mac1,Mac2"
"105","chr1:9538416-9553560","chr1:9281874-9289593","Mon"
"106","chr1:9538416-9553560","chr1:9527075-9533422","Mon,Neu"
"107","chr1:9906929-9916712","chr1:10020874-10025453","Neu"
"108","chr1:9906929-9916712","chr1:10025453-10034144","Ery,Neu"
"109","chr1:9906929-9916712","chr1:10036814-10046906","MK"
"110","chr1:9930383-9961202","chr1:9925523-9929281","Mon,Neu"
"111","chr1:9930383-9961202","chr1:10020874-10025453","Ery,Neu"
"112","chr1:9930383-9961202","chr1:10036814-10046906","Neu"
"113","chr1:9930383-9961202","chr1:10112942-10113140","nCD8,MK"
"114","chr1:10025453-10034144","chr1:9876917-9884497","nCD8"
"115","chr1:10025453-10034144","chr1:9884497-9889237","MK"
"116","chr1:10025453-10034144","chr1:9925523-9929281","Ery,Neu"
"117","chr1:10025453-10034144","chr1:10036814-10046906","Neu"
"118","chr1:10025453-10034144","chr1:10112942-10113140","nCD4"
"119","chr1:10690979-10707459","chr1:10928331-10933314","Ery"
"120","chr1:11261668-11262642","chr1:11690878-11703503","Ery"
"121","chr1:11261668-11262642","chr1:11893230-11914134","nCD8"
"122","chr1:11645271-11657290","chr1:11291016-11294688","nCD8"
"123","chr1:11645271-11657290","chr1:11294688-11299282","nCD4,nCD8,Ery"
"124","chr1:11733431-11737240","chr1:11267923-11278647","nCD8"
"125","chr1:11733431-11737240","chr1:11291016-11294688","Neu"
"126","chr1:11733431-11737240","chr1:11739621-11759327","MK"
"127","chr1:11733431-11737240","chr1:11795878-11796766","Ery"
"128","chr1:11804846-11812432","chr1:11893230-11914134","Ery"
"129","chr1:11804846-11812432","chr1:12005681-12020340","Neu"
"130","chr1:11893230-11914134","chr1:11824085-11841298","Ery"
"131","chr1:11893230-11914134","chr1:11871937-11876504","Ery"
"132","chr1:11893230-11914134","chr1:12005681-12020340","Mac2"
"133","chr1:11893230-11914134","chr1:12026742-12031944","Mac2,Neu"
"134","chr1:11893230-11914134","chr1:12031944-12037736","MK"
"135","chr1:11920096-11930065","chr1:11791184-11795878","MK"
"136","chr1:11920096-11930065","chr1:11795878-11796766","MK"
"137","chr1:11920096-11930065","chr1:11796766-11804846","Ery"
"138","chr1:11920096-11930065","chr1:12005681-12020340","Mac2"
"139","chr1:11920096-11930065","chr1:12026742-12031944","Mac2,Neu"
"140","chr1:11920096-11930065","chr1:12031944-12037736","Mon,Neu"
"141","chr1:11920096-11930065","chr1:12196541-12214850","MK"
"142","chr1:11930065-11946897","chr1:11795878-11796766","Ery"
"143","chr1:11930065-11946897","chr1:12005681-12020340","Mon,Neu"
"144","chr1:11930065-11946897","chr1:12196541-12214850","Ery,Mac1"
"145","chr1:11930065-11946897","chr1:12214850-12219976","MK"
"146","chr1:11974015-11981856","chr1:11791184-11795878","MK"
"147","chr1:11974015-11981856","chr1:11795878-11796766","MK"
"148","chr1:11974015-11981856","chr1:11796766-11804846","Neu"
"149","chr1:11974015-11981856","chr1:11824085-11841298","Ery"
"150","chr1:11974015-11981856","chr1:11888815-11893230","Ery"
"151","chr1:11974015-11981856","chr1:11893230-11914134","Ery"
"152","chr1:11974015-11981856","chr1:12005681-12020340","Mac2"
"153","chr1:11974015-11981856","chr1:12026742-12031944","Mon,Neu"
"154","chr1:11974015-11981856","chr1:12196541-12214850","Ery,Mac1"
"155","chr1:11974015-11981856","chr1:12214850-12219976","Ery"
"156","chr1:11974015-11981856","chr1:12228231-12234643","MK"
"157","chr1:12005681-12020340","chr1:11791184-11795878","MK"
"158","chr1:12005681-12020340","chr1:11795878-11796766","MK"
"159","chr1:12005681-12020340","chr1:11796766-11804846","Neu"
"160","chr1:12005681-12020340","chr1:11824085-11841298","Ery"
"161","chr1:12005681-12020340","chr1:11888815-11893230","Ery"
"162","chr1:12005681-12020340","chr1:11893230-11914134","Mon,Neu"
"163","chr1:12005681-12020340","chr1:12196541-12214850","Ery,Mac1"
"164","chr1:12005681-12020340","chr1:12214850-12219976","Ery"
"165","chr1:12005681-12020340","chr1:12228231-12234643","Mac1,Mac2,Neu"
"166","chr1:12005681-12020340","chr1:12243640-12257535","Ery"
"167","chr1:12165154-12172576","chr1:11893230-11914134","Mon,Neu"
"168","chr1:12165154-12172576","chr1:12196541-12214850","Ery"
"169","chr1:12165154-12172576","chr1:12228231-12234643","Ery"
"170","chr1:12228231-12234643","chr1:12005681-12020340","nCD8,Mac1,Mac2,Neu"
"171","chr1:12228231-12234643","chr1:12081746-12089392","nCD8,Mac1,Mac2,Neu"
"172","chr1:12228231-12234643","chr1:12089392-12096549","nCD4,nCD8"
"173","chr1:12228231-12234643","chr1:12613521-12631637","Mac0,Mac1,Mac2"
"174","chr1:12613521-12631637","chr1:12293353-12298813","Mac0,Mac1,Mac2"
"175","chr1:12613521-12631637","chr1:12298813-12301359","Mac0,Mac2"
"176","chr1:12613521-12631637","chr1:12312824-12318933","Mac0,Mac1,Mac2"
"177","chr1:12613521-12631637","chr1:12337142-12339202","nCD4"
"178","chr1:12613521-12631637","chr1:12411028-12416466","nCD8"
"179","chr1:12613521-12631637","chr1:12428075-12434757","nCD8"
"180","chr1:12613521-12631637","chr1:12503808-12506654","nCD8"
"181","chr1:12613521-12631637","chr1:12506654-12507908","nCD4,Neu"
"182","chr1:13693324-13706796","chr1:13717861-13719774","nCD4,Neu"
"183","chr1:13693324-13706796","chr1:13719774-13724860","nCD8,Mac1,Mac2,Neu"
"184","chr1:13693324-13706796","chr1:13767534-13773191","nCD4,nCD8,Mac1"
"185","chr1:13693324-13706796","chr1:13786622-13790887","Mac1"
"186","chr1:13693324-13706796","chr1:13790887-13791182","nCD4,nCD8"
"187","chr1:13693324-13706796","chr1:13796197-13798721","Mac1"
"188","chr1:15148415-15159874","chr1:15168911-15176097","MK"
"189","chr1:15148415-15159874","chr1:15528830-15543961","Mac1"
"190","chr1:15245777-15251420","chr1:15130368-15135202","Mac1,Mac2"
"191","chr1:15245777-15251420","chr1:15135202-15138516","Mac1"
"192","chr1:15245777-15251420","chr1:15138930-15147354","Mac1"
"193","chr1:15245777-15251420","chr1:15159874-15168911","Mac1"
"194","chr1:15245777-15251420","chr1:15168911-15176097","Mac1"
"195","chr1:15395713-15410387","chr1:15168911-15176097","Mac1"
"196","chr1:15395713-15410387","chr1:15332745-15339428","Mac1"
"197","chr1:15581964-15589084","chr1:15332745-15339428","Mac0,Mac1,Mac2"
"198","chr1:15581964-15589084","chr1:15681565-15697108","Mon,Neu"
"199","chr1:15616039-15622362","chr1:15499932-15528830","MK"
"200","chr1:15616039-15622362","chr1:15528830-15543961","Mac0,Mac1,Mac2"
"201","chr1:15616039-15622362","chr1:15681565-15697108","Mac1,Mon,Neu"
"202","chr1:15844320-15859808","chr1:15823499-15826050","Mac1,Mon,Neu"
"203","chr1:15844320-15859808","chr1:15826050-15838839","Mac1,Mac2"
"204","chr1:16004862-16020773","chr1:15778633-15780628","Mac1,Mac2"
"205","chr1:16004862-16020773","chr1:15780628-15787468","Mac1"
"206","chr1:16004862-16020773","chr1:15823499-15826050","Mac2"
"207","chr1:16004862-16020773","chr1:15873380-15876046","nCD4"
"208","chr1:16140519-16158607","chr1:16069171-16081830","nCD4"
"209","chr1:16158607-16164411","chr1:16069171-16081830","nCD8"
"210","chr1:16211924-16216397","chr1:16069171-16081830","Ery"
"211","chr1:16211924-16216397","chr1:16243653-16245798","Mac1"
"212","chr1:16211924-16216397","chr1:16447602-16450032","nCD8"
"213","chr1:16216397-16217482","chr1:16069171-16081830","nCD8"
"214","chr1:16234086-16237981","chr1:16054067-16064667","nCD8"
"215","chr1:16234086-16237981","chr1:16064667-16066685","nCD4,nCD8"
"216","chr1:16234086-16237981","chr1:16069171-16081830","Mon"
"217","chr1:16234086-16237981","chr1:16081830-16098357","Ery"
"218","chr1:16234086-16237981","chr1:16243653-16245798","nCD8"
"219","chr1:16350840-16355754","chr1:16054067-16064667","nCD4,nCD8"
"220","chr1:16350840-16355754","chr1:16069171-16081830","Mac2,Neu"
"221","chr1:16350840-16355754","chr1:16217482-16222232","Ery"
"222","chr1:16350840-16355754","chr1:16237981-16243653","Ery"
"223","chr1:16350840-16355754","chr1:16243653-16245798","Ery"
"224","chr1:16350840-16355754","chr1:16254378-16259289","Mac0,Mac1,Mac2,Mon,Neu"
"225","chr1:16350840-16355754","chr1:16289496-16292758","Mac1,Mac2,Mon,Neu"
"226","chr1:16350840-16355754","chr1:16292758-16294079","Mac1,Mac2,Mon,Neu"
"227","chr1:16350840-16355754","chr1:16294079-16294997","Mac1,Mac2,Mon,Neu"
"228","chr1:16350840-16355754","chr1:16294997-16296215","Mac2"
"229","chr1:16350840-16355754","chr1:16296215-16300843","Mac1,Mac2"
"230","chr1:16350840-16355754","chr1:16300843-16303245","Mac1"
"231","chr1:16439275-16447602","chr1:16450032-16452943","Mac1,Mac2"
"232","chr1:17010461-17013987","chr1:17333767-17338475","Mac2"
"233","chr1:17010461-17013987","chr1:17425259-17440461","Mac1,Mac2,Mon"
"234","chr1:17043790-17060936","chr1:17072905-17080818","Mac1,Mac2"
"235","chr1:17043790-17060936","chr1:17080818-17089450","nCD8,Mon,Neu"
"236","chr1:17043790-17060936","chr1:17179292-17182006","nCD8,Mon,Neu"
"237","chr1:17043790-17060936","chr1:17182006-17186147","Ery,Mon"
"238","chr1:17043790-17060936","chr1:17204321-17206598","Neu"
"239","chr1:17043790-17060936","chr1:17264293-17273794","Mac1,Neu"
"240","chr1:17043790-17060936","chr1:17295496-17298061","Neu"
"241","chr1:17043790-17060936","chr1:17308604-17333767","Mac1,Mac2"
"242","chr1:17043790-17060936","chr1:17333767-17338475","nCD4,Mac0,Mac1,Mac2,MK,Neu"
"243","chr1:17043790-17060936","chr1:17350217-17353089","Ery,MK"
"244","chr1:17043790-17060936","chr1:17353089-17359389","Ery,MK,Neu"
"245","chr1:17043790-17060936","chr1:17359389-17371092","Mac0,Mac1,Mac2"
"246","chr1:17043790-17060936","chr1:17379586-17383555","Neu"
"247","chr1:17043790-17060936","chr1:17389337-17398068","Neu"
"248","chr1:17043790-17060936","chr1:17398068-17402242","Neu"
"249","chr1:17043790-17060936","chr1:17402242-17407379","Neu"
"250","chr1:17043790-17060936","chr1:17420987-17425259","Mac2"
"251","chr1:17043790-17060936","chr1:17425259-17440461","Mon"
"252","chr1:17043790-17060936","chr1:17440901-17447115","Mac1,Neu"
"253","chr1:17114723-17123006","chr1:16892738-16907600","Mac1,Mac2,Mon"
"254","chr1:17114723-17123006","chr1:17072905-17080818","Mac1,Mac2"
"255","chr1:17114723-17123006","chr1:17080818-17089450","Mon,Neu"
"256","chr1:17114723-17123006","chr1:17179292-17182006","Mon,Neu"
"257","chr1:17114723-17123006","chr1:17182006-17186147","Mon"
"258","chr1:17114723-17123006","chr1:17204321-17206598","Neu"
"259","chr1:17114723-17123006","chr1:17264293-17273794","Mac1,Neu"
"260","chr1:17114723-17123006","chr1:17295496-17298061","Neu"
"261","chr1:17114723-17123006","chr1:17308604-17333767","Mac1,Mac2"
"262","chr1:17114723-17123006","chr1:17333767-17338475","Neu"
"263","chr1:17114723-17123006","chr1:17340787-17350217","Mac0,Mac1,Mac2,Neu"
"264","chr1:17114723-17123006","chr1:17350217-17353089","Neu"
"265","chr1:17114723-17123006","chr1:17359389-17371092","Mac0,Mac1,Mac2"
"266","chr1:17114723-17123006","chr1:17379586-17383555","Neu"
"267","chr1:17114723-17123006","chr1:17389337-17398068","Neu"
"268","chr1:17114723-17123006","chr1:17398068-17402242","Neu"
"269","chr1:17114723-17123006","chr1:17402242-17407379","Neu"
"270","chr1:17114723-17123006","chr1:17407455-17420987","Neu"
"271","chr1:17114723-17123006","chr1:17420987-17425259","Mac2"
"272","chr1:17114723-17123006","chr1:17425259-17440461","Mon"
"273","chr1:17114723-17123006","chr1:17440901-17447115","Ery,Mac1,MK,Neu"
"274","chr1:17425259-17440461","chr1:16892738-16907600","Mac1,Mon"
"275","chr1:17425259-17440461","chr1:17072905-17080818","Mac1,Mac2"
"276","chr1:17425259-17440461","chr1:17080818-17089450","Neu"
"277","chr1:17425259-17440461","chr1:17407455-17420987","Mac2"
"278","chr1:17425259-17440461","chr1:17624941-17628928","Mac1"
"279","chr1:17425259-17440461","chr1:17634332-17641311","nCD8"
"280","chr1:18892968-18902851","chr1:18649236-18651604","Mac2,Neu"
"281","chr1:18892968-18902851","chr1:18970785-18977531","Neu"
"282","chr1:18892968-18902851","chr1:19218332-19220698","nCD8"
"283","chr1:18954972-18958041","chr1:18649236-18651604","MK"
"284","chr1:19205157-19210931","chr1:19176523-19183292","Neu"
"285","chr1:19205157-19210931","chr1:19218332-19220698","Neu"
"286","chr1:19205157-19210931","chr1:19220698-19237804","Mac1,Mac2"
"287","chr1:19205157-19210931","chr1:19486906-19492283","nCD8,Ery,MK"
"288","chr1:19205157-19210931","chr1:19599333-19619349","nCD4"
"289","chr1:19205157-19210931","chr1:19659653-19668012","Mon,Neu"
"290","chr1:19205157-19210931","chr1:19788105-19798892","nCD4,nCD8"
"291","chr1:19205157-19210931","chr1:24632251-24635571","Mac0,Mac1,Mac2,MK"
"292","chr1:19205157-19210931","chr1:37812755-37819622","Mon"
"293","chr1:19248874-19255167","chr1:19507638-19520044","nCD4"
"294","chr1:19248874-19255167","chr1:19659653-19668012","Mac0,Mac1,Mac2"
"295","chr1:19304968-19325038","chr1:19258080-19258681","Mon"
"296","chr1:19304968-19325038","chr1:19507638-19520044","Mac1"
"297","chr1:19304968-19325038","chr1:19525973-19544899","nCD8,Ery,MK"
"298","chr1:19304968-19325038","chr1:19599333-19619349","nCD4"
"299","chr1:19304968-19325038","chr1:19659653-19668012","Neu"
"300","chr1:19483858-19486731","chr1:19218332-19220698","Mac0,Mac1,Mac2"
"301","chr1:19483858-19486731","chr1:19258080-19258681","nCD4"
"302","chr1:19483858-19486731","chr1:19402669-19406242","nCD4,nCD8,Neu"
"303","chr1:19483858-19486731","chr1:19411357-19417940","nCD8,Ery,MK"
"304","chr1:19483858-19486731","chr1:19599333-19619349","nCD4"
"305","chr1:19483858-19486731","chr1:19659653-19668012","nCD4,nCD8,Neu"
"306","chr1:19596366-19599333","chr1:19411357-19417940","Mac1,Mac2"
"307","chr1:19596366-19599333","chr1:19486906-19492283","Neu"
"308","chr1:20630834-20641631","chr1:20567579-20576999","Neu"
"309","chr1:20659952-20667166","chr1:20567579-20576999","Neu"
"310","chr1:20659952-20667166","chr1:21182592-21188301","Neu"
"311","chr1:20785740-20788027","chr1:21042583-21047753","Neu"
"312","chr1:20785740-20788027","chr1:21139523-21140811","MK,Mon,Neu"
"313","chr1:20785740-20788027","chr1:21140811-21144803","MK,Mon,Neu"
"314","chr1:20785740-20788027","chr1:21152505-21156312","Neu"
"315","chr1:20785740-20788027","chr1:21182592-21188301","Ery"
"316","chr1:20785740-20788027","chr1:21188301-21189373","Ery"
"317","chr1:20785740-20788027","chr1:21189373-21221057","nCD4,nCD8,Neu"
"318","chr1:20785740-20788027","chr1:21301152-21320412","Mac1"
"319","chr1:20785740-20788027","chr1:21564779-21578452","Mac1,Mac2"
"320","chr1:21164760-21182592","chr1:20685662-20702747","Mac0,Mac1,Mac2,Neu"
"321","chr1:21164760-21182592","chr1:20738384-20746076","Neu"
"322","chr1:21164760-21182592","chr1:20946566-20949874","Mac1,MK,Neu"
"323","chr1:21164760-21182592","chr1:20957175-20967165","Ery,MK,Neu"
"324","chr1:21164760-21182592","chr1:20987138-20988406","Mac0,Mac2,Neu"
"325","chr1:21293123-21301152","chr1:20738384-20746076","Ery"
"326","chr1:21343528-21348096","chr1:21237067-21243042","nCD4,nCD8,MK"
"327","chr1:21343528-21348096","chr1:22024908-22032795","Ery"
"328","chr1:21662597-21670898","chr1:21237067-21243042","Ery,Mac2"
"329","chr1:21781808-21784635","chr1:21686285-21687078","Ery"
"330","chr1:21781808-21784635","chr1:21687118-21687705","Ery,Mac0,Mac1,Mac2,Neu"
"331","chr1:21781808-21784635","chr1:21687705-21693294","Mac0,Mac1"
"332","chr1:21781808-21784635","chr1:21714605-21718402","nCD8,Mac1,Mac2"
"333","chr1:21781808-21784635","chr1:22014963-22024612","nCD4,nCD8,MK,Mon"
"334","chr1:21781808-21784635","chr1:22024908-22032795","nCD4"
"335","chr1:21781808-21784635","chr1:22033043-22045051","nCD8"
"336","chr1:21781808-21784635","chr1:22076002-22080561","nCD8"
"337","chr1:21781808-21784635","chr1:22098529-22099893","nCD8"
"338","chr1:21781808-21784635","chr1:22099893-22101410","nCD8"
"339","chr1:21781808-21784635","chr1:22101410-22102647","nCD8,Neu"
"340","chr1:21781808-21784635","chr1:22107027-22108033","nCD8,Neu"
"341","chr1:21781808-21784635","chr1:22108033-22111855","nCD4,Ery,Neu"
"342","chr1:21781808-21784635","chr1:22451917-22461576","Mac2"
"343","chr1:21936640-21949720","chr1:21684536-21686285","Ery,Mac2"
"344","chr1:21936640-21949720","chr1:21686285-21687078","Ery"
"345","chr1:21936640-21949720","chr1:21687118-21687705","Ery,Mac0,Mac1,Mac2"
"346","chr1:21936640-21949720","chr1:21687705-21693294","Mac0,Mac1"
"347","chr1:21936640-21949720","chr1:21714605-21718402","MK"
"348","chr1:22052098-22053491","chr1:20659952-20667166","Mac1"
"349","chr1:22636290-22646351","chr1:22648217-22653691","Mac0,Mac1"
"350","chr1:22709137-22712117","chr1:22841269-22847536","Ery"
"351","chr1:23013198-23024558","chr1:23276209-23282024","Mac0,Mac2"
"352","chr1:23171935-23182590","chr1:22984882-22993133","nCD4"
"353","chr1:23479488-23488694","chr1:23604020-23609911","Neu"
"354","chr1:23525224-23532636","chr1:23506900-23507077","nCD4,nCD8"
"355","chr1:23557676-23560170","chr1:23604020-23609911","Mac0,Mac1,Mac2"
"356","chr1:23776481-23787489","chr1:23892339-23901132","nCD4,nCD8,Ery,Mac0,Mac1,Neu"
"357","chr1:23776481-23787489","chr1:23988953-24004036","Mac0,Mac1,Mac2"
"358","chr1:23789604-23791509","chr1:23892339-23901132","Ery,MK"
"359","chr1:23789604-23791509","chr1:23913954-23931426","MK"
"360","chr1:23789604-23791509","chr1:23934163-23945866","Mac0,Mac1,Mac2"
"361","chr1:23791887-23802544","chr1:23892339-23901132","Mac0,Mac1,Mac2,Mon"
"362","chr1:23791887-23802544","chr1:24020552-24028341","Mon,Neu"
"363","chr1:23864452-23879690","chr1:23802544-23807812","Ery,Mac1,Mac2,Mon,Neu"
"364","chr1:23864452-23879690","chr1:23807812-23812840","Ery"
"365","chr1:23864452-23879690","chr1:23824393-23831766","Mon,Neu"
"366","chr1:23957244-23961371","chr1:23802544-23807812","Ery,Mac1,Mac2,Mon,Neu"
"367","chr1:23957244-23961371","chr1:23807812-23812840","Mac0,Mac1,Mac2,Mon"
"368","chr1:23957244-23961371","chr1:24020552-24028341","Mac2"
"369","chr1:23957244-23961371","chr1:24028341-24029623","nCD4,nCD8"
"370","chr1:23957244-23961371","chr1:24635571-24637074","Ery,Mac1,Mac2,Mon,Neu"
"371","chr1:23966294-23982038","chr1:23807812-23812840","Mac0,Mac1,Mac2,Mon"
"372","chr1:23966294-23982038","chr1:24020552-24028341","Mac2"
"373","chr1:23966294-23982038","chr1:24028341-24029623","nCD4,nCD8,Mac1,Mac2"
"374","chr1:24178617-24190282","chr1:24470127-24481479","nCD8"
"375","chr1:24178617-24190282","chr1:24537335-24538336","nCD4,nCD8"
"376","chr1:24178617-24190282","chr1:24542893-24558197","nCD8"
"377","chr1:24178617-24190282","chr1:24577827-24585485","nCD4,nCD8"
"378","chr1:24178617-24190282","chr1:24632251-24635571","nCD4,nCD8"
"379","chr1:24178617-24190282","chr1:24635571-24637074","nCD8"
"380","chr1:24178617-24190282","chr1:24660146-24660689","nCD8"
"381","chr1:24415640-24416370","chr1:24142606-24147622","Neu"
"382","chr1:24415640-24416370","chr1:24199415-24217105","nCD4,nCD8,Mac1,Mac2"
"383","chr1:24415640-24416370","chr1:24470127-24481479","nCD8"
"384","chr1:24415640-24416370","chr1:24481479-24492548","nCD4,nCD8"
"385","chr1:24415640-24416370","chr1:24518226-24519940","nCD4,nCD8"
"386","chr1:24415640-24416370","chr1:24519940-24526052","nCD8"
"387","chr1:24415640-24416370","chr1:24526052-24528669","nCD8"
"388","chr1:24415640-24416370","chr1:24528669-24531277","nCD4,nCD8"
